acc-loss,distortion
0.103384091,0.005765345
0.082975494,0.008658906
0.063459384,0.012061542
0.050642719,0.014979809
0.03959624,0.01763105
0.029986899,0.020164301
0.024558432,0.021802154
0.082975031,0.008659844
0.063458557,0.012062782
0.050641768,0.014981256
0.039595388,0.017632638
0.029986153,0.020166011
0.024557802,0.021803918
0.082974741,0.008660782
0.063457626,0.012064022
0.050640816,0.014982703
0.039594536,0.017634226
0.029985407,0.020167722
0.024557172,0.021805681
0.063456971,0.012065261
0.050640084,0.014984151
0.039593873,0.017635815
0.029984661,0.020169433
0.024556542,0.021807445
0.082974086,0.008662659
0.063456048,0.012066501
0.050639132,0.014985598
0.039593021,0.017637404
0.029983915,0.020171143
0.024555912,0.021809209
0.08297343,0.008663597
0.063455116,0.012067741
0.05063818,0.014987045
0.039592169,0.017638992
0.029983169,0.020172854
0.024555282,0.021810973
0.08297315,0.008664536
0.063454455,0.012068982
0.050637396,0.014988493
0.039591317,0.017640581
0.029982423,0.020174565
0.024554653,0.021812737
0.082972845,0.008665474
0.063453702,0.012070222
0.050636444,0.01498994
0.039590465,0.01764217
0.029981677,0.020176276
0.024554023,0.0218145
0.082972246,0.008666413
0.063452902,0.012071462
0.050635567,0.014991388
0.039589613,0.017643759
0.029980931,0.020177987
0.024553393,0.021816264
0.08297185,0.008667351
0.063452128,0.012072702
0.050634616,0.014992835
0.039588761,0.017645347
0.029980185,0.020179698
0.024552763,0.021818028
0.082971256,0.00866829
0.063451205,0.012073942
0.050633664,0.014994283
0.03958791,0.017646936
0.029979439,0.020181408
0.024552134,0.021819792
0.082970829,0.008669228
0.063450451,0.012075182
0.050632712,0.01499573
0.039587058,0.017648525
0.029978693,0.020183119
0.024551504,0.021821556
0.082970147,0.008670167
0.063449554,0.012076422
0.05063176,0.014997178
0.039586206,0.017650114
0.029977948,0.02018483
0.024550874,0.02182332
0.082969557,0.008671106
0.063448622,0.012077663
0.050630953,0.014998625
0.039585354,0.017651703
0.029977202,0.020186541
0.024550245,0.021825084
0.082968816,0.008672045
0.063447698,0.012078903
0.050630001,0.015000073
0.039584502,0.017653292
0.029976456,0.020188253
0.024549615,0.021826848
0.082968271,0.008672984
0.063446807,0.012080144
0.050629049,0.015001521
0.03958365,0.017654881
0.02997571,0.020189964
0.024548986,0.021828612
0.082967851,0.008673922
0.06344596,0.012081384
0.050628098,0.015002969
0.039582798,0.01765647
0.029974965,0.020191675
0.024548356,0.021830376
0.082967408,0.008674861
0.063445179,0.012082625
0.050627221,0.015004417
0.039581947,0.017658059
0.029974219,0.020193386
0.024547727,0.02183214
0.082966798,0.0086758
0.063444281,0.012083865
0.05062627,0.015005864
0.039581095,0.017659648
0.029973473,0.020195097
0.024547097,0.021833904
0.082966601,0.008676739
0.063443622,0.012085106
0.050625318,0.015007312
0.039580243,0.017661237
0.029972728,0.020196808
0.024546468,0.021835668
0.082966043,0.008677678
0.063442799,0.012086347
0.050624366,0.01500876
0.039579391,0.017662827
0.029971982,0.020198519
0.024545838,0.021837432
0.082965445,0.008678618
0.063441908,0.012087587
0.050623414,0.015010208
0.03957854,0.017664416
0.029971237,0.02020023
0.024545209,0.021839196
0.082965401,0.008679557
0.063441081,0.012088828
0.050622462,0.015011656
0.039577688,0.017666005
0.029970491,0.020201942
0.02454458,0.021840961
0.082964839,0.008680496
0.06344015,0.012090069
0.050621587,0.015013105
0.039576837,0.017667595
0.029969746,0.020203653
0.02454395,0.021842725
0.08296446,0.008681436
0.063439218,0.01209131
0.05062078,0.015014553
0.039575985,0.017669184
0.029969001,0.020205365
0.024543321,0.02184449
0.082963845,0.008682375
0.063438294,0.012092551
0.050619828,0.015016001
0.039575133,0.017670773
0.029968255,0.020207076
0.024542692,0.021846254
0.082963305,0.008683314
0.06343743,0.012093792
0.050618877,0.015017449
0.039574282,0.017672363
0.02996751,0.020208787
0.024542063,0.021848018
0.082962716,0.008684254
0.063436538,0.012095033
0.050617925,0.015018897
0.039573431,0.017673952
0.029966765,0.020210499
0.024541433,0.021849782
0.082962376,0.008685193
0.063435641,0.012096274
0.050616973,0.015020345
0.039572579,0.017675541
0.02996602,0.02021221
0.024540804,0.021851546
0.082962309,0.008686133
0.063435022,0.012097514
0.050616204,0.015021793
0.039571728,0.01767713
0.029965275,0.020213921
0.024540175,0.021853311
0.082961721,0.008687072
0.063434258,0.012098755
0.050615329,0.015023241
0.039570876,0.01767872
0.029964529,0.020215633
0.024539546,0.021855075
0.082961138,0.008688012
0.063433366,0.012099996
0.050614453,0.015024689
0.039570025,0.01768031
0.029963784,0.020217344
0.024538917,0.021856839
0.082960568,0.008688951
0.063432435,0.012101237
0.050613502,0.015026138
0.039569174,0.017681899
0.029963039,0.020219056
0.024538288,0.021858604
0.082960064,0.008689891
0.063431696,0.012102479
0.05061255,0.015027586
0.039568322,0.017683489
0.029962294,0.020220767
0.024537659,0.021860368
0.082959556,0.008690831
0.063430915,0.01210372
0.050611599,0.015029034
0.039567471,0.017685078
0.029961549,0.020222479
0.02453703,0.021862133
0.082959202,0.008691771
0.063430169,0.012104961
0.050610647,0.015030483
0.03956662,0.017686668
0.029960804,0.02022419
0.024536401,0.021863897
0.082958581,0.00869271
0.063429238,0.012106202
0.050609772,0.015031931
0.039565769,0.017688258
0.029960059,0.020225902
0.024535773,0.021865661
0.082958093,0.00869365
0.063428448,0.012107443
0.050608902,0.015033379
0.039564918,0.017689847
0.029959315,0.020227613
0.024535144,0.021867426
0.082957896,0.00869459
0.063427709,0.012108684
0.050608128,0.015034828
0.039564066,0.017691437
0.02995857,0.020229324
0.024534515,0.02186919
0.082957598,0.00869553
0.063426909,0.012109925
0.050607177,0.015036276
0.039563215,0.017693026
0.029957825,0.020231036
0.024533886,0.021870954
0.082956989,0.008696469
0.063425977,0.012111166
0.050606226,0.015037724
0.039562365,0.017694615
0.02995708,0.020232747
0.024533258,0.021872718
0.082956609,0.008697409
0.06342521,0.012112407
0.050605274,0.015039172
0.039561514,0.017696205
0.029956336,0.020234458
