iteration,exp4,exp5,exp6,exp7,exp8,exp9,exp10
73,0.103423504,0.082942836,0.063400297,0.05057709,0.039535151,0.029933273,0.024513161
74,0.103423697,0.082942127,0.063399406,0.05057614,0.039534301,0.029932529,0.024512533
75,0.10342421,0.082941416,0.063398572,0.050575265,0.039533451,0.029931786,0.024511906
76,0.103424724,0.082940875,0.063397641,0.050574314,0.039532601,0.029931043,0.024511278
77,0.103425076,0.08294023,0.063396836,0.050573364,0.039531751,0.029930299,0.024510651
78,0.103426494,0.082940092,0.063396057,0.050572413,0.039530901,0.029929556,0.024510023
79,0.103427325,0.082939779,0.06339528,0.050571623,0.039530051,0.029928813,0.024509396
80,0.103427691,0.082939409,0.063394356,0.050570672,0.039529202,0.02992807,0.024508768
81,0.103428831,0.082939205,0.06339373,0.050569891,0.039528352,0.029927326,0.024508141
82,0.103428933,0.082938453,0.063392885,0.050568941,0.039527502,0.029926583,0.024507514
83,0.103429073,0.08293785,0.063391993,0.050568067,0.039526652,0.02992584,0.024506886
84,0.103429248,0.08293745,0.063391129,0.050567192,0.039525803,0.029925097,0.024506259
85,0.103429488,0.082936924,0.063390424,0.050566464,0.039524953,0.029924354,0.024505632
86,0.103429816,0.082936196,0.063389657,0.05056559,0.039524103,0.029923611,0.024505005
87,0.103430054,0.08293582,0.063388812,0.05056464,0.039523254,0.029922868,0.024504378
88,0.103430283,0.082935241,0.063388056,0.050563689,0.039522404,0.029922125,0.02450375
89,0.103430863,0.082934793,0.063387125,0.050562739,0.039521554,0.029921382,0.024503123
90,0.103431676,0.082934365,0.063386362,0.050561789,0.039520705,0.029920639,0.024502496
91,0.103432352,0.082933866,0.063385878,0.050560915,0.039519855,0.029919896,0.024501869
92,0.103432459,0.082933057,0.063384947,0.050559964,0.039519006,0.029919154,0.024501242
93,0.103433464,0.082932869,0.063384016,0.050559014,0.039518156,0.029918411,0.024500615
94,0.103434258,0.082932495,0.063383287,0.050558219,0.039517307,0.029917668,0.024499988
95,0.103434469,0.082931862,0.063382486,0.050557269,0.039516458,0.029916926,0.024499362
96,0.103434888,0.082931181,0.063381563,0.050556395,0.039515608,0.029916183,0.024498735
97,0.103435742,0.082930784,0.063380839,0.050555445,0.039514759,0.02991544,0.024498108
98,0.103435923,0.082930242,0.063380013,0.050554495,0.03951391,0.029914698,0.024497481
99,0.103436516,0.08292994,0.063379082,0.050553545,0.03951306,0.029913955,0.024496854
100,0.103436867,0.082929485,0.06337838,0.050552595,0.039512211,0.029913213,0.024496228
101,0.103437649,0.082929038,0.063377449,0.050551644,0.039511362,0.02991247,0.024495601
102,0.103438514,0.082928647,0.063376655,0.050550777,0.039510513,0.029911728,0.024494975
103,0.103438594,0.082927849,0.063375724,0.050549903,0.039509664,0.029910986,0.024494348
104,0.103438834,0.08292719,0.063374833,0.050548953,0.039508815,0.029910244,0.024493721
105,0.103439812,0.082926737,0.063374089,0.050548156,0.039507966,0.029909501,0.024493095
106,0.103440681,0.082926429,0.063373503,0.050547206,0.039507117,0.029908759,0.024492468
107,0.103441468,0.082925873,0.063372607,0.050546256,0.039506268,0.029908017,0.024491842
108,0.103441727,0.082925355,0.063371676,0.050545414,0.039505419,0.029907275,0.024491215
109,0.103442296,0.082925103,0.063370941,0.050544641,0.03950457,0.029906532,0.024490589
110,0.103443108,0.082924771,0.063370242,0.050543899,0.039503721,0.02990579,0.024489963
111,0.10344382,0.082924244,0.063369565,0.050543031,0.039502872,0.029905048,0.024489336
112,0.103444509,0.082923766,0.063368765,0.050542081,0.039502023,0.029904306,0.02448871
113,0.103444846,0.082923221,0.063367899,0.050541131,0.039501174,0.029903564,0.024488084
114,0.103445251,0.082922554,0.063367008,0.050540181,0.039500325,0.029902822,0.024487457
115,0.103445633,0.082921945,0.063366077,0.050539308,0.039499476,0.02990208,0.024486831
116,0.103446556,0.082921647,0.063365606,0.050538358,0.039498628,0.029901338,0.024486205
117,0.103447389,0.082921262,0.063364849,0.050537408,0.039497779,0.029900597,0.024485579
118,0.103448275,0.08292097,0.063364145,0.05053654,0.03949693,0.029899855,0.024484953
119,0.103448482,0.082920578,0.063363279,0.050535591,0.039496082,0.029899113,0.024484327
120,0.10344925,0.082920276,0.063362412,0.050534641,0.039495233,0.029898371,0.024483701
121,0.103449881,0.082920075,0.063361623,0.050533773,0.039494384,0.02989763,0.024483075
122,0.103451271,0.082920155,0.063361022,0.050532824,0.039493536,0.029896888,0.024482449
123,0.10345171,0.082919747,0.063360245,0.050532011,0.039492687,0.029896146,0.024481823
124,0.103452296,0.082919302,0.063359315,0.050531061,0.039491839,0.029895405,0.024481197
125,0.103453046,0.082919041,0.063358532,0.050530194,0.03949099,0.029894663,0.024480571
126,0.103453528,0.082918667,0.063357963,0.050529611,0.039490142,0.029893922,0.024479945
127,0.103454627,0.082918426,0.063357186,0.050528661,0.039489294,0.029893181,0.024479319
128,0.103454664,0.082917902,0.06335629,0.050527712,0.039488445,0.029892439,0.024478694
129,0.103454977,0.082917626,0.06335536,0.050526762,0.039487597,0.029891698,0.024478068
130,0.103454884,0.082916908,0.063354429,0.050525813,0.039486749,0.029890957,0.024477442
131,0.103455994,0.082917021,0.063353499,0.05052494,0.0394859,0.029890215,0.024476817
132,0.103455974,0.082916433,0.063352608,0.050524067,0.039485052,0.029889474,0.024476191
133,0.103456288,0.08291573,0.063351686,0.050523254,0.039484204,0.029888733,0.024475566
134,0.10345755,0.082915678,0.06335105,0.050522304,0.039483356,0.029887992,0.02447494
135,0.10345872,0.082915967,0.063350532,0.050521437,0.039482507,0.02988725,0.024474314
136,0.103458666,0.082915304,0.063349609,0.050520487,0.039481659,0.029886509,0.024473689
137,0.103458844,0.082914699,0.063348686,0.050519538,0.039480811,0.029885768,0.024473063
138,0.103459242,0.082914119,0.063347822,0.050518588,0.039479963,0.029885027,0.024472438
139,0.103459965,0.082913857,0.063347102,0.050517715,0.039479115,0.029884286,0.024471813
140,0.103460646,0.082913399,0.06334628,0.050516887,0.039478266,0.029883545,0.024471187
141,0.103461146,0.082913049,0.06334556,0.050515938,0.039477418,0.029882804,0.024470562
142,0.103461868,0.082912936,0.063344815,0.050514988,0.03947657,0.029882063,0.024469936
143,0.103462603,0.08291243,0.063343989,0.050514038,0.039475722,0.029881322,0.024469311
144,0.103463818,0.082912346,0.063343375,0.050513225,0.039474874,0.029880581,0.024468686
145,0.103464005,0.082911639,0.063342554,0.050512276,0.039474026,0.029879841,0.024468061
146,0.103464529,0.082911117,0.063341632,0.050511326,0.039473178,0.0298791,0.024467436
147,0.103465008,0.082910725,0.063340839,0.050510485,0.039472331,0.029878359,0.024466811
