iteration,exp4,exp5,exp6,exp7,exp8,exp9,exp10
73,0.005808905,0.008726552,0.012150891,0.015084075,0.017745481,0.020287507,0.021929167
74,0.005809511,0.008727493,0.012152133,0.015085524,0.017747071,0.020289219,0.021930932
75,0.005810118,0.008728434,0.012153375,0.015086973,0.017748661,0.020290931,0.021932696
76,0.005810724,0.008729375,0.012154618,0.015088423,0.017750251,0.020292642,0.021934461
77,0.00581133,0.008730316,0.01215586,0.015089872,0.017751841,0.020294354,0.021936225
78,0.005811936,0.008731257,0.012157102,0.015091321,0.017753431,0.020296066,0.021937989
79,0.005812543,0.008732198,0.012158344,0.015092771,0.017755022,0.020297778,0.021939754
80,0.005813149,0.008733139,0.012159587,0.01509422,0.017756612,0.020299489,0.021941518
81,0.005813755,0.00873408,0.012160829,0.015095669,0.017758202,0.020301201,0.021943283
82,0.005814362,0.008735021,0.012162071,0.015097118,0.017759792,0.020302913,0.021945047
83,0.005814968,0.008735962,0.012163314,0.015098568,0.017761382,0.020304624,0.021946811
84,0.005815574,0.008736903,0.012164556,0.015100017,0.017762972,0.020306336,0.021948576
85,0.005816181,0.008737844,0.012165799,0.015101466,0.017764562,0.020308048,0.02195034
86,0.005816787,0.008738786,0.012167041,0.015102916,0.017766153,0.020309759,0.021952104
87,0.005817394,0.008739727,0.012168284,0.015104365,0.017767743,0.020311471,0.021953868
88,0.005818,0.008740668,0.012169526,0.015105814,0.017769333,0.020313183,0.021955633
89,0.005818607,0.008741609,0.012170769,0.015107264,0.017770923,0.020314895,0.021957397
90,0.005819213,0.00874255,0.012172012,0.015108713,0.017772514,0.020316606,0.021959162
91,0.00581982,0.008743492,0.012173254,0.015110163,0.017774104,0.020318318,0.021960926
92,0.005820426,0.008744433,0.012174497,0.015111612,0.017775694,0.02032003,0.02196269
93,0.005821033,0.008745374,0.01217574,0.015113062,0.017777284,0.020321742,0.021964455
94,0.005821639,0.008746316,0.012176983,0.015114511,0.017778875,0.020323453,0.021966219
95,0.005822246,0.008747257,0.012178225,0.015115961,0.017780465,0.020325165,0.021967983
96,0.005822852,0.008748198,0.012179468,0.015117411,0.017782055,0.020326877,0.021969748
97,0.005823459,0.00874914,0.012180711,0.01511886,0.017783646,0.020328589,0.021971512
98,0.005824066,0.008750081,0.012181954,0.01512031,0.017785236,0.0203303,0.021973277
99,0.005824672,0.008751023,0.012183197,0.01512176,0.017786827,0.020332012,0.021975041
100,0.005825279,0.008751965,0.01218444,0.015123209,0.017788417,0.020333724,0.021976806
101,0.005825886,0.008752906,0.012185683,0.015124659,0.017790008,0.020335436,0.02197857
102,0.005826493,0.008753848,0.012186926,0.015126109,0.017791598,0.020337148,0.021980335
103,0.0058271,0.00875479,0.012188169,0.015127559,0.017793189,0.02033886,0.021982099
104,0.005827707,0.008755732,0.012189412,0.015129009,0.017794779,0.020340572,0.021983863
105,0.005828314,0.008756674,0.012190655,0.015130459,0.01779637,0.020342284,0.021985628
106,0.005828921,0.008757616,0.012191898,0.015131909,0.01779796,0.020343995,0.021987392
107,0.005829528,0.008758557,0.012193142,0.015133359,0.017799551,0.020345707,0.021989157
108,0.005830135,0.008759499,0.012194385,0.015134809,0.017801142,0.020347419,0.021990921
109,0.005830742,0.008760441,0.012195628,0.015136259,0.017802732,0.020349131,0.021992686
110,0.005831349,0.008761383,0.012196872,0.015137709,0.017804323,0.020350843,0.02199445
111,0.005831956,0.008762325,0.012198115,0.015139159,0.017805914,0.020352555,0.021996215
112,0.005832563,0.008763267,0.012199358,0.015140609,0.017807505,0.020354267,0.02199798
113,0.00583317,0.00876421,0.012200602,0.015142059,0.017809096,0.02035598,0.021999745
114,0.005833777,0.008765152,0.012201846,0.01514351,0.017810687,0.020357692,0.022001509
115,0.005834385,0.008766094,0.012203089,0.01514496,0.017812278,0.020359404,0.022003274
116,0.005834992,0.008767036,0.012204333,0.015146411,0.017813869,0.020361117,0.022005039
117,0.005835599,0.008767979,0.012205577,0.015147861,0.01781546,0.020362829,0.022006804
118,0.005836206,0.008768921,0.01220682,0.015149311,0.017817051,0.020364541,0.022008569
119,0.005836814,0.008769864,0.012208064,0.015150762,0.017818642,0.020366253,0.022010333
120,0.005837421,0.008770806,0.012209308,0.015152212,0.017820233,0.020367966,0.022012098
121,0.005838029,0.008771749,0.012210552,0.015153663,0.017821824,0.020369678,0.022013863
122,0.005838636,0.008772691,0.012211795,0.015155113,0.017823415,0.02037139,0.022015628
123,0.005839243,0.008773634,0.012213039,0.015156564,0.017825006,0.020373102,0.022017392
124,0.005839851,0.008774577,0.012214283,0.015158014,0.017826597,0.020374815,0.022019157
125,0.005840458,0.00877552,0.012215527,0.015159465,0.017828188,0.020376527,0.022020922
126,0.005841066,0.008776462,0.012216771,0.015160916,0.01782978,0.020378239,0.022022687
127,0.005841673,0.008777405,0.012218015,0.015162366,0.017831371,0.020379952,0.022024452
128,0.005842281,0.008778348,0.012219259,0.015163817,0.017832962,0.020381664,0.022026217
129,0.005842889,0.008779291,0.012220503,0.015165268,0.017834553,0.020383377,0.022027982
130,0.005843496,0.008780234,0.012221747,0.015166719,0.017836145,0.020385089,0.022029747
131,0.005844104,0.008781177,0.012222991,0.01516817,0.017837736,0.020386802,0.022031512
132,0.005844712,0.00878212,0.012224235,0.015169621,0.017839328,0.020388514,0.022033277
133,0.00584532,0.008783064,0.01222548,0.015171072,0.01784092,0.020390227,0.022035042
134,0.005845928,0.008784007,0.012226725,0.015172524,0.017842511,0.02039194,0.022036808
135,0.005846536,0.008784951,0.01222797,0.015173975,0.017844103,0.020393653,0.022038574
136,0.005847144,0.008785894,0.012229214,0.015175427,0.017845696,0.020395366,0.022040339
137,0.005847753,0.008786838,0.012230459,0.015176879,0.017847288,0.02039708,0.022042105
138,0.005848361,0.008787782,0.012231704,0.01517833,0.01784888,0.020398793,0.022043871
139,0.00584897,0.008788726,0.01223295,0.015179782,0.017850472,0.020400506,0.022045636
140,0.005849578,0.00878967,0.012234195,0.015181234,0.017852064,0.020402219,0.022047402
141,0.005850187,0.008790614,0.01223544,0.015182686,0.017853657,0.020403933,0.022049168
142,0.005850796,0.008791558,0.012236685,0.015184138,0.017855249,0.020405646,0.022050934
143,0.005851404,0.008792502,0.01223793,0.01518559,0.017856841,0.020407359,0.0220527
144,0.005852013,0.008793447,0.012239175,0.015187042,0.017858434,0.020409073,0.022054465
145,0.005852622,0.008794391,0.01224042,0.015188494,0.017860026,0.020410786,0.022056231
146,0.005853231,0.008795335,0.012241666,0.015189946,0.017861618,0.020412499,0.022057997
147,0.005853839,0.008796279,0.012242911,0.015191398,0.017863211,0.020414213,0.022059763
148,0.005854448,0.008797224,0.012244156,0.015192849,0.017864803,0.020415926,0.022061528
149,0.005855057,0.008798168,0.012245402,0.015194301,0.017866395,0.020417639,0.022063294
150,0.005855666,0.008799113,0.012246647,0.015195754,0.017867988,0.020419353,0.02206506
151,0.005856275,0.008800058,0.012247893,0.015197206,0.01786958,0.020421066,0.022066826
152,0.005856884,0.008801002,0.012249138,0.015198658,0.017871173,0.020422779,0.022068592
153,0.005857493,0.008801947,0.012250384,0.01520011,0.017872765,0.020424493,0.022070358
154,0.005858101,0.008802892,0.012251629,0.015201563,0.017874358,0.020426206,0.022072123
155,0.00585871,0.008803836,0.012252875,0.015203015,0.01787595,0.02042792,0.022073889
156,0.005859319,0.008804781,0.01225412,0.015204467,0.017877543,0.020429633,0.022075655
157,0.005859928,0.008805726,0.012255366,0.015205919,0.017879135,0.020431346,0.022077421
158,0.005860537,0.008806671,0.012256612,0.015207372,0.017880727,0.02043306,0.022079186
159,0.005861146,0.008807616,0.012257857,0.015208824,0.01788232,0.020434773,0.022080952
160,0.005861755,0.00880856,0.012259103,0.015210276,0.017883912,0.020436486,0.022082718
161,0.005862364,0.008809505,0.012260348,0.015211728,0.017885505,0.020438199,0.022084483
162,0.005862973,0.00881045,0.012261594,0.01521318,0.017887097,0.020439912,0.022086249
163,0.005863582,0.008811395,0.01226284,0.015214633,0.01788869,0.020441626,0.022088015
164,0.005864191,0.00881234,0.012264085,0.015216085,0.017890282,0.020443339,0.02208978
165,0.0058648,0.008813285,0.012265331,0.015217538,0.017891875,0.020445053,0.022091546
166,0.00586541,0.00881423,0.012266577,0.01521899,0.017893468,0.020446766,0.022093312
167,0.005866019,0.008815176,0.012267823,0.015220443,0.01789506,0.020448479,0.022095078
168,0.005866628,0.008816121,0.012269069,0.015221895,0.017896653,0.020450193,0.022096844
169,0.005867238,0.008817066,0.012270315,0.015223348,0.017898246,0.020451906,0.02209861
170,0.005867847,0.008818011,0.012271561,0.0152248,0.017899838,0.02045362,0.022100375
171,0.005868457,0.008818957,0.012272807,0.015226253,0.017901431,0.020455334,0.022102141
172,0.005869067,0.008819902,0.012274053,0.015227706,0.017903024,0.020457047,0.022103907
173,0.005869676,0.008820847,0.012275299,0.015229158,0.017904617,0.020458761,0.022105673
174,0.005870286,0.008821793,0.012276545,0.015230611,0.01790621,0.020460474,0.022107439
175,0.005870896,0.008822738,0.012277791,0.015232063,0.017907802,0.020462188,0.022109205
176,0.005871505,0.008823683,0.012279037,0.015233516,0.017909395,0.020463901,0.022110971
177,0.005872115,0.008824629,0.012280284,0.015234969,0.017910988,0.020465615,0.022112737
178,0.005872725,0.008825574,0.01228153,0.015236422,0.017912581,0.020467328,0.022114503
